MAG	Completeness	Contamination	Total_tRNAs	AA_Coverage	16S	23S	5S	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	check_Source
T2108174045_metabat2_bins_bin.1	90.69	0.43	39	19	1	0	2	Neural Network (Specific Model)	11	0.89	15975	319.58448506464555	2413731	0.71	2243	221	115208		HSMG_12
T2108174048_maxbin2_bins_bin.40	99.13	3.6	44	20	1	0	4	Neural Network (Specific Model)	11	0.858	13264	287.6437883435583	2618862	0.44	2608	382	63324		HSMG_12
T2108174073_maxbin2_bins_bin.46	97.63	4.47	46	18	0	0	0	Gradient Boost (General Model)	11	0.88	72581	334.6760319112036	3286025	0.65	2883	267	167224		HSMG_12
T2108174074_maxbin2_bins_bin.46	99.09	2.81	45	19	0	0	1	Gradient Boost (General Model)	11	0.881	53097	325.3492880945168	3652756	0.65	3301	326	195178		HSMG_12
T2108174089_maxbin2_bins_bin.44	99.94	1.75	47	20	1	0	0	Neural Network (Specific Model)	11	0.869	65543	295.2071668533035	1814389	0.31	1786	123	251230		HSMG_12
T2107171984_concoct_bins_bin.9	92.61	1.41	41	20	1	1	1	Gradient Boost (General Model)	11	0.866	3598	288.9831970935513	2201905	0.56	2202	744	21068		HSMG_12
T2107171994_maxbin2_bins_bin.23	91.92	3.76	39	19	0	0	0	Gradient Boost (General Model)	11	0.894	9394	280.53485517918506	3827046	0.69	4074	671	63901		HSMG_12
T2107171994_maxbin2_bins_bin.7	97.5	4.5	37	20	1	1	1	Neural Network (Specific Model)	11	0.888	25819	289.45591465327897	3111772	0.38	3187	409	82292		HSMG_12
T2107172017_maxbin2_bins_bin.47	94.43	3.57	39	20	0	0	0	Gradient Boost (General Model)	11	0.913	9746	275.45208779443254	3372771	0.64	3736	580	35711		HSMG_12
T2108173863_concoct_bins_bin.71	99.64	2.24	36	20	1	1	1	Neural Network (Specific Model)	11	0.93	84252	301.20806794055204	2283334	0.51	2355	50	401764		HSMG_12
T2108173887_concoct_bins_bin.21	94.65	3.17	55	20	0	0	2	Gradient Boost (General Model)	11	0.905	129095	342.9138090824838	8564409	0.6	7553	151	353331		HSMG_12
T2108173892_metabat2_bins_bin.6	90.76	1.5	38	18	0	0	1	Gradient Boost (General Model)	11	0.906	7988	274.3438586326767	3129786	0.69	3452	539	48322		HSMG_12
T2108173900_maxbin2_bins_bin.15	96.53	4.79	50	20	0	0	0	Neural Network (Specific Model)	11	0.906	22631	299.29335585585585	3514767	0.7	3552	389	94295		HSMG_12
T2108173928_maxbin2_bins_bin.38	90.31	4.69	44	18	1	0	0	Neural Network (Specific Model)	11	0.924	31853	318.6693970420933	4539420	0.69	4395	376	132356		HSMG_12
T2108173982_maxbin2_bins_bin.5	99.9	4.33	39	20	0	0	2	Neural Network (Specific Model)	11	0.866	24486	290.36405743399723	2167067	0.43	2159	242	108205		HSMG_12
T2108173997_concoct_bins_bin.8	99.97	0.44	39	20	1	1	1	Neural Network (Specific Model)	11	0.903	940398	282.27777777777777	1010508	0.48	1080	20	940398		HSMG_12
T2108174003_concoct_bins_bin.109	91.2	3.39	59	18	1	0	1	Neural Network (Specific Model)	11	0.884	13829	314.2457260943077	5668475	0.4	5323	619	70692		HSMG_12
T2108174077_concoct_bins_bin.61	90.73	4.63	31	18	0	0	2	Neural Network (Specific Model)	11	0.86	3952	241.15657410505185	2509740	0.44	2989	805	28273		HSMG_12
R_T2109199169_concoct_bins_bin.1	95.78	0.51	65	19	0	0	1	Neural Network (Specific Model)	11	0.893	67034	322.7565594341775	4743111	0.62	4383	166	226899		HSMG_12
R_T2109199169_concoct_bins_bin.46	100.0	1.08	64	20	1	0	1	Neural Network (Specific Model)	11	0.88	65214	316.56464872944696	5767098	0.62	5352	141	255701		HSMG_12
T2107171968_maxbin2_bins_bin.42	94.69	2.13	44	20	2	3	2	Gradient Boost (General Model)	11	0.898	40146	300.1728545343883	1643573	0.46	1643	97	136025		HSMG_12
T2108173892_maxbin2_bins_bin.16	99.97	3.92	44	20	1	1	3	Gradient Boost (General Model)	11	0.884	167918	308.78616732105104	3462149	0.46	3311	243	417617		HSMG_12
T2108173902_maxbin2_bins_bin.1	96.85	0.35	41	20	1	1	0	Neural Network (Specific Model)	11	0.895	105707	317.645131518228	2301431	0.6	2167	90	313797		HSMG_12
T2108173922_metabat2_bins_bin.19	93.66	4.81	33	20	0	0	0	Gradient Boost (General Model)	11	0.925	5843	272.69654135338345	2934981	0.68	3325	631	22683		HSMG_12
T2108173937_maxbin2_bins_bin.25	97.71	4.49	48	20	5	10	3	Neural Network (Specific Model)	11	0.875	286329	286.3706938379427	2018511	0.53	2061	264	514359		HSMG_12
T2108173942_concoct_bins_bin.29	93.18	3.34	37	18	0	0	2	Gradient Boost (General Model)	11	0.921	4433	264.14587221823405	5976998	0.7	6965	1753	21951		HSMG_12
T2108173972_maxbin2_bins_bin.20	100.0	4.04	56	20	0	0	0	Neural Network (Specific Model)	11	0.829	27527	289.79776212184004	2526462	0.51	2413	213	74519		HSMG_12
T2108173979_maxbin2_bins_bin.21	97.0	4.31	63	19	0	2	2	Neural Network (Specific Model)	11	0.899	26838	309.9182549767048	2436991	0.6	2361	264	117951		HSMG_12
T2108173997_concoct_bins_bin.12	90.84	4.3	28	16	0	0	0	Neural Network (Specific Model)	11	0.898	6381	270.73651510872634	3199549	0.67	3541	610	32371		HSMG_12
T2108174072_maxbin2_bins_bin.56	96.75	3.93	46	20	0	0	0	Neural Network (Specific Model)	11	0.954	11043	264.9263108171941	1752427	0.43	2117	268	37846		HSMG_12
T2107171990_metabat2_bins_bin.16	99.9	0.08	41	20	1	1	1	Neural Network (Specific Model)	11	0.893	721349	275.87142857142857	906227	0.48	980	3	721349		HSMG_12
T2107171992_concoct_bins_bin.139	92.17	4.22	29	17	0	0	1	Gradient Boost (General Model)	11	0.877	4215	261.54876341577227	1913558	0.41	2143	565	20674		HSMG_12
T2107172024_metabat2_bins_bin.7	95.93	0.02	34	20	0	0	0	Gradient Boost (General Model)	11	0.864	173679	308.20349344978166	1222272	0.38	1145	18	279159		HSMG_12
T2107172025_metabat2_bins_bin.32	90.68	4.95	17	11	0	0	2	Neural Network (Specific Model)	11	0.851	6796	254.294927251278	2274654	0.31	2543	452	35282		HSMG_12
T2108173880_maxbin2_bins_bin.8	99.99	2.6	32	18	0	0	3	Neural Network (Specific Model)	11	0.882	68265	296.0783905653833	2899341	0.37	2883	256	228499		HSMG_12
T2108173881_metabat2_bins_bin.19	97.68	0.92	31	19	0	0	2	Neural Network (Specific Model)	11	0.93	212560	311.0361955085865	3789643	0.38	3785	34	555842		HSMG_12
T2108173887_maxbin2_bins_bin.53	96.1	4.71	41	20	0	0	2	Gradient Boost (General Model)	11	0.9	438762	323.6413282656532	5382723	0.36	4999	324	834540		HSMG_12
T2108173913_metabat2_bins_bin.73	99.22	0.06	42	20	1	1	1	Neural Network (Specific Model)	11	0.901	498002	293.4679113185531	835987	0.48	857	3	498002		HSMG_12
T2108173928_concoct_bins_bin.37	90.51	3.46	40	19	1	0	1	Gradient Boost (General Model)	11	0.882	3717	272.99771897810217	2031903	0.43	2192	673	59340		HSMG_12
T2108173999_metabat2_bins_bin.77	94.0	0.36	39	18	0	0	0	Gradient Boost (General Model)	11	0.881	8559	287.1767164179104	1635353	0.64	1675	239	43462		HSMG_12
T2108174029_maxbin2_bins_bin.22	95.2	3.58	47	19	2	0	0	Gradient Boost (General Model)	11	0.913	48242	316.82314588427056	3823809	0.58	3681	239	166590		HSMG_12
T2108174046_metabat2_bins_bin.93	91.51	3.81	54	19	0	0	5	Neural Network (Specific Model)	11	0.87	21121	291.3892679900744	3233986	0.4	3224	294	117793		HSMG_12
T2108174050_concoct_bins_bin.34	98.77	0.42	38	20	1	1	1	Neural Network (Specific Model)	11	0.928	1259123	316.1592702169625	2068777	0.5	2028	8	1259123		HSMG_12
T2108174051_concoct_bins_bin.3	90.12	0.14	51	20	1	1	1	Gradient Boost (General Model)	11	0.903	12512	296.9037593984962	3927395	0.64	3990	439	46079		HSMG_12
T2108174062_concoct_bins_bin.136	99.1	0.02	45	20	1	1	1	Neural Network (Specific Model)	11	0.919	72161	329.39273356401384	620527	0.38	578	17	142516		HSMG_12
T2108174062_maxbin2_bins_bin.131	95.52	3.96	45	20	0	0	0	Gradient Boost (General Model)	11	0.907	7444	298.3535483870968	1527811	0.49	1550	316	47040		HSMG_12
T2108174064_metabat2_bins_bin.24	92.62	0.95	26	18	0	0	1	Gradient Boost (General Model)	11	0.901	13671	290.78555133079846	1271124	0.41	1315	118	58546		HSMG_12
R_T2109198896_metabat2_bins_bin.11	96.91	2.34	45	18	0	0	0	Neural Network (Specific Model)	11	0.895	45882	327.78777472527474	3193664	0.65	2912	120	133793		HSMG_12
R_T2109199087_concoct_bins_bin.9	94.45	2.28	34	18	0	0	0	Neural Network (Specific Model)	11	0.893	15292	298.6013167520117	2740626	0.37	2734	274	60575		HSMG_12
