MAG	Completeness	Contamination	Total_tRNAs	AA_Coverage	16S	23S	5S	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	domain	check_Source	gtdb_source	source	from	rrna_completeness	trna_completeness	functional_completeness	warning_penalty	comprehensive_quality_score	warning_level	warning_priority
T2108174060_concoct_bins_bin.26	100.0	0.0	38	20	0	0	0	Gradient Boost (General Model)	11	0.853	250066	303.48369132856004	1338597	0.38	1257	29	454813		T2108174060_concoct_bins_bin.26	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.57	0.955	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.57	0.955	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.33, 0.803	98.37	11.0			Bacteria	HSMG_4628	hsmg_part1	HSMG	human	0.0	100.0	55.2	0.0	94.50666592105301	无警告	1
1111525849479399_bin.2	100.0	0.0	38	20	0	1	0	Gradient Boost (General Model)	11	0.864	108476	311.1080380293864	1246846	0.38	1157	18	343720		1111525849479399_bin.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.48	0.985	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.48	0.985	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.51, 0.829	98.37	11.0			Bacteria	UHSG_HQ_2111	UHSG_output	UHSG	human	33.33333333333333	100.0	68.53333333333333	0.0	95.03699702526728	无警告	1
1111525849771614_bin.6	99.99	0.0	35	20	1	0	0	Gradient Boost (General Model)	11	0.861	146642	312.0663221360896	1259106	0.38	1161	11	456096		1111525849771614_bin.6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.5	0.989	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.5	0.989	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.45, 0.834	98.37	11.0			Bacteria	UHSG_HQ_2111	UHSG_output	UHSG	human	33.33333333333333	100.0	67.33333333333333	0.0	95.03031957837422	无警告	1
1111525849645395_bin.5	100.0	0.0	37	20	0	0	0	Gradient Boost (General Model)	11	0.858	251831	310.04761904761904	1294314	0.38	1197	15	483084		1111525849645395_bin.5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.31	0.976	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.31	0.976	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.36, 0.814	98.37	11.0			Bacteria	UHSG_HQ_2111	UHSG_output	UHSG	human	0.0	100.0	54.8	0.0	94.49224136826717	无警告	1
s__QFNR01_sp003248485_MAG_3653	100.0	0.0	35	20	0	0	0	Gradient Boost (General Model)	11	0.861	250717	312.56574394463667	1256388	0.38	1156	11	386804		s__QFNR01_sp003248485_MAG_3653	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.46	0.99	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.46	0.99	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.46, 0.831	98.37	11.0			Bacteria	nose_974	nose	nose	human	0.0	100.0	54.0	0.0	94.07135253887867	无警告	1
T2108173946_concoct_bins_bin.96	100.0	0.0	37	20	0	0	0	Gradient Boost (General Model)	11	0.857	251954	302.24213836477986	1342395	0.38	1272	24	486532		T2108173946_concoct_bins_bin.96	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.46	0.938	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.46	0.938	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.38, 0.816	98.37	11.0			Bacteria	HSMG_4628	hsmg_part_2_1_output	HSMG	human	0.0	100.0	54.8	0.0	94.42923037962902	无警告	1
T2108173966_metabat2_bins_bin.9	100.0	0.0	35	20	0	1	0	Gradient Boost (General Model)	11	0.862	90081	307.8386554621849	1271354	0.38	1190	19	255776		T2108173966_metabat2_bins_bin.9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.57	0.991	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.57	0.991	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.34, 0.814	98.37	11.0			Bacteria	HSMG_4628	hsmg_part1	HSMG	human	33.33333333333333	100.0	67.33333333333333	0.0	94.21919293359602	无警告	1
T2108173946_metabat2_bins_bin.13	100.0	0.0	35	20	0	0	0	Gradient Boost (General Model)	11	0.86	251954	309.942735042735	1261801	0.38	1170	11	486532		T2108173946_metabat2_bins_bin.13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.48	0.985	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.48	0.985	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.46, 0.83	98.37	11.0			Bacteria	HSMG_4628	hsmg_part_2_1_output	HSMG	human	0.0	100.0	54.0	0.0	94.206730379629	无警告	1
T2108173912_metabat2_bins_bin.21	100.0	0.02	46	20	1	1	1	Neural Network (Specific Model)	11	0.911	260808	330.1037414965986	3189609	0.66	2940	24	408167		T2108173912_metabat2_bins_bin.21	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__						GCF_022014495.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__Sandaracinobacteroides sayramense	93.26	0.739	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003248865.1, s__Sandaracinobacteroides sp003248865, 95.0, 80.83, 0.157; GCF_006385875.1, s__Sandaracinobacteroides neustonicus, 95.0, 80.3, 0.153	98.55	11.0	0.99237	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	Bacteria	HSMG_4628	hsmg_part_2_1_output	HSMG	human	100.0	100.0	98.4	0.05	99.27800174612938	1类警告	2
T2108173912_concoct_bins_bin.1	99.69	1.47	46	20	1	1	1	Gradient Boost (General Model)	11	0.907	176460	325.3617330619366	3692017	0.65	3439	58	408167		T2108173912_concoct_bins_bin.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__						GCF_022014495.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__Sandaracinobacteroides sayramense	93.22	0.641	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		96.9	11.0	0.99231	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	Bacteria	HSMG_4628	hsmg_part1	HSMG	human	100.0	100.0	98.4	0.05	95.89590436503326	1类警告	2
T2108173910_metabat2_bins_bin.107	99.99	0.05	41	20	0	0	0	Neural Network (Specific Model)	11	0.913	220767	328.9555172413793	3129311	0.66	2900	22	598808		T2108173910_metabat2_bins_bin.107	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__						GCF_022014495.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__Sandaracinobacteroides sayramense	93.25	0.752	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003248865.1, s__Sandaracinobacteroides sp003248865, 95.0, 80.84, 0.162; GCF_006385875.1, s__Sandaracinobacteroides neustonicus, 95.0, 80.22, 0.158	98.57	11.0	0.99227	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	Bacteria	HSMG_4628	hsmg_part1	HSMG	human	0.0	100.0	56.400000000000006	0.05	94.51172084325839	1类警告	2
