Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Source
3300012108_7	63.91	0.12	Gradient Boost (General Model)	11	0.924	5347	283.5414307771487	1784271	0.6	1943	342	17673	None	Aquatic_19300_1
3300012183_8	78.71	1.59	Gradient Boost (General Model)	11	0.882	7059	254.9521208226221	2691271	0.67	3112	421	26950	None	Aquatic_19300_1
3300012268_22	92.98	0.03	Neural Network (Specific Model)	11	0.883	17366	275.20327868852456	569242	0.43	610	42	43045	None	Aquatic_19300_1
3300013010_15	97.2	2.61	Neural Network (Specific Model)	11	0.894	20520	260.8256603773585	2304860	0.35	2650	164	125193	None	Aquatic_19300_1
3300013099_28	71.73	2.37	Gradient Boost (General Model)	11	0.909	7389	291.96038647342993	1992102	0.44	2070	299	54275	None	Aquatic_19300_1
3300013099_42	59.09	0.01	Neural Network (Specific Model)	11	0.87	5613	270.01381509032944	872402	0.41	941	167	10746	None	Aquatic_19300_1
3300013122_5	76.72	0.09	Neural Network (Specific Model)	11	0.888	14606	292.8057571964956	3947408	0.59	3995	340	62919	None	Aquatic_19300_1
3300013131_112	87.64	2.13	Gradient Boost (General Model)	11	0.932	9080	289.6352395672334	1202429	0.38	1294	153	26038	None	Aquatic_19300_1
3300013131_144	96.07	1.42	Gradient Boost (General Model)	11	0.915	31641	307.30398069963815	834643	0.39	829	44	93270	None	Aquatic_19300_1
3300013131_37	97.68	0.25	Gradient Boost (General Model)	11	0.929	132411	366.5812600969305	3656961	0.42	3095	57	313906	None	Aquatic_19300_1
3300013131_77	95.79	0.2	Gradient Boost (General Model)	11	0.955	85536	352.9756097560976	1994180	0.4	1804	42	210469	None	Aquatic_19300_1
3300013132_134	68.31	0.39	Gradient Boost (General Model)	11	0.95	8637	307.83458646616543	1159168	0.6	1197	157	31092	None	Aquatic_19300_1
3300013132_232	83.3	1.36	Neural Network (Specific Model)	11	0.869	13305	263.05725971370146	442822	0.48	489	44	44494	None	Aquatic_19300_1
3300013132_33	59.72	3.11	Gradient Boost (General Model)	11	0.908	5748	336.7187090002624	4230824	0.58	3811	756	20017	None	Aquatic_19300_1
3300013132_86	94.99	0.49	Gradient Boost (General Model)	11	0.943	12392	350.86621196222455	2121034	0.65	1906	215	58633	None	Aquatic_19300_1
3300013137_12	94.96	5.3	Gradient Boost (General Model)	11	0.893	29098	329.6618985695709	6800087	0.63	6152	399	182716	None	Aquatic_19300_1
3300013137_151	84.77	1.47	Gradient Boost (General Model)	11	0.919	10157	276.3333333333333	845147	0.39	939	96	27993	None	Aquatic_19300_1
3300013137_158	69.93	0.06	Gradient Boost (General Model)	11	0.916	73021	323.8465011286682	938058	0.4	886	27	151726	None	Aquatic_19300_1
3300013137_172	100.0	0.29	Gradient Boost (General Model)	11	0.898	36592	304.8096885813149	881658	0.36	867	38	101688	None	Aquatic_19300_1
3300013137_196	93.8	1.35	Gradient Boost (General Model)	11	0.939	35476	263.9499467518637	788290	0.38	939	39	91875	None	Aquatic_19300_1
3300013137_217	88.38	3.06	Gradient Boost (General Model)	11	0.89	10676	261.33167082294267	705676	0.31	802	80	30773	None	Aquatic_19300_1
3300013137_67	95.31	1.74	Gradient Boost (General Model)	11	0.92	25644	361.1818181818182	2405004	0.5	2046	139	127175	None	Aquatic_19300_1
3300013137_92	82.24	0.17	Gradient Boost (General Model)	11	0.92	21082	307.6859553948162	1662282	0.62	1659	115	76600	None	Aquatic_19300_1
3300014208_146	88.23	0.94	Gradient Boost (General Model)	11	0.953	30815	288.0521844660194	744054	0.46	824	40	78601	None	Aquatic_19300_1
3300014208_82	98.87	0.94	Gradient Boost (General Model)	11	0.94	89958	327.749377593361	1254777	0.41	1205	21	211147	None	Aquatic_19300_1
3300014720_19	95.46	1.51	Gradient Boost (General Model)	11	0.92	37599	358.03533190578156	4356177	0.62	3736	196	150164	None	Aquatic_19300_1
3300014720_48	92.62	2.03	Gradient Boost (General Model)	11	0.948	11368	298.2544378698225	2068033	0.54	2197	230	47544	None	Aquatic_19300_1
3300014720_50	97.05	0.04	Gradient Boost (General Model)	11	0.95	210458	351.2808181315644	2003727	0.41	1809	51	509221	None	Aquatic_19300_1
3300014720_65	69.23	0.41	Gradient Boost (General Model)	11	0.949	6953	305.4666177549523	1313543	0.48	1363	210	22626	None	Aquatic_19300_1
3300014843_2	100.0	0.0	Neural Network (Specific Model)	11	0.868	85501	306.61965509095205	4478678	0.49	4233	84	192483	None	Aquatic_19300_1
3300014869_6	83.76	0.73	Gradient Boost (General Model)	11	0.881	9940	215.05410225921523	1226487	0.42	1682	152	28613	None	Aquatic_19300_1
3300014914_15	62.28	0.83	Gradient Boost (General Model)	11	0.822	6152	245.80293819655523	1765128	0.48	1974	301	25049	None	Aquatic_19300_1
3300015360_68	85.2	0.04	Gradient Boost (General Model)	11	0.933	183357	355.55707051032334	2929165	0.5	2567	35	250026	None	Aquatic_19300_1
3300017423_17	51.83	1.06	Neural Network (Specific Model)	11	0.892	5773	282.24796163069544	1972181	0.5	2085	357	19921	None	Aquatic_19300_1
3300017429_43	61.47	0.22	Gradient Boost (General Model)	11	0.903	7334	258.98974358974357	334676	0.53	390	53	14700	None	Aquatic_19300_1
3300017470_15	96.78	0.76	Gradient Boost (General Model)	11	0.887	38470	327.82671480144404	2759768	0.42	2493	129	121713	None	Aquatic_19300_1
3300017470_4	87.43	2.1	Gradient Boost (General Model)	11	0.911	11779	314.68528528528526	3443499	0.43	3330	368	79325	None	Aquatic_19300_1
3300017473_2	87.61	3.37	Gradient Boost (General Model)	11	0.901	9080	293.9546452084857	4007191	0.57	4101	523	36621	None	Aquatic_19300_1
3300017494_33	56.36	1.53	Gradient Boost (General Model)	11	0.915	5421	311.57122507122506	1433039	0.39	1404	269	14555	None	Aquatic_19300_1
3300017494_73	96.96	0.09	Gradient Boost (General Model)	11	0.894	848564	285.1316085489314	848564	0.44	889	1	848564	None	Aquatic_19300_1
3300017498_13	77.13	0.72	Gradient Boost (General Model)	11	0.918	11351	374.1472355769231	2032117	0.5	1664	208	45680	None	Aquatic_19300_1
3300017498_14	67.99	1.28	Gradient Boost (General Model)	11	0.943	6555	332.66265060240966	2017078	0.51	1909	335	22057	None	Aquatic_19300_1
3300017697_18	90.03	2.56	Gradient Boost (General Model)	11	0.918	14462	283.95010395010394	1336790	0.46	1443	126	57636	None	Aquatic_19300_1
3300017986_61	71.61	1.21	Gradient Boost (General Model)	11	0.954	8876	301.18327067669173	1003246	0.47	1064	127	34189	None	Aquatic_19300_1
3300018015_16	94.01	0.82	Gradient Boost (General Model)	11	0.915	27440	350.84894758563763	2781439	0.63	2423	163	168267	None	Aquatic_19300_1
3300018020_18	96.18	1.37	Gradient Boost (General Model)	11	0.908	75704	358.97885196374625	3135386	0.62	2648	71	329003	None	Aquatic_19300_1
3300018022_9	91.65	4.24	Gradient Boost (General Model)	11	0.839	38289	273.08776148112526	4049054	0.48	4159	209	137111	None	Aquatic_19300_1
3300018040_27	68.46	0.85	Neural Network (Specific Model)	11	0.904	9115	235.0	576102	0.5	740	76	31827	None	Aquatic_19300_1
3300020153_36	85.6	3.71	Neural Network (Specific Model)	11	0.943	10102	273.27592393254395	2412068	0.68	2787	294	47025	None	Aquatic_19300_1
3300020175_17	81.58	0.18	Neural Network (Specific Model)	11	0.907	43327	337.37821411874705	2383249	0.52	2139	142	137148	None	Aquatic_19300_1
3300020196_22	92.9	0.48	Gradient Boost (General Model)	11	0.933	33016	348.3528596187175	3223846	0.52	2885	136	202817	None	Aquatic_19300_1
3300020196_57	85.43	3.3	Gradient Boost (General Model)	11	0.952	96676	355.7782864617397	1711703	0.41	1529	94	265092	None	Aquatic_19300_1
3300020200_45	72.51	1.1	Gradient Boost (General Model)	11	0.926	7396	321.3215667311412	2149410	0.56	2068	309	49331	None	Aquatic_19300_1
3300020200_53	84.44	3.13	Neural Network (Specific Model)	11	0.95	12050	295.56677999028653	1915035	0.57	2059	204	57250	None	Aquatic_19300_1
3300020214_26	91.7	0.17	Gradient Boost (General Model)	11	0.931	55514	323.31957032561263	3095485	0.68	2979	110	227718	None	Aquatic_19300_1
3300020214_30	98.35	1.25	Gradient Boost (General Model)	11	0.9	47331	366.3980582524272	2887013	0.71	2369	99	159880	None	Aquatic_19300_1
3300020221_53	100.0	3.34	Gradient Boost (General Model)	11	0.947	53648	364.8333333333333	2331366	0.41	2022	127	177868	None	Aquatic_19300_1
3300020222_46	88.55	0.22	Gradient Boost (General Model)	11	0.921	35917	349.5700041545492	2737063	0.56	2407	144	100311	None	Aquatic_19300_1
3300020222_59	100.0	1.0	Gradient Boost (General Model)	11	0.949	36627	366.0957932083122	2279354	0.41	1973	131	121875	None	Aquatic_19300_1
3300020222_65	100.0	0.08	Gradient Boost (General Model)	11	0.944	282071	349.6078431372549	2151093	0.41	1938	39	430694	None	Aquatic_19300_1
3300020268_6	58.44	2.13	Gradient Boost (General Model)	11	0.96	17592	306.29723320158104	1207716	0.39	1265	105	55884	None	Aquatic_19300_1
3300020285_2	67.83	0.38	Neural Network (Specific Model)	11	0.906	10430	321.99238385377	2797007	0.45	2626	328	29971	None	Aquatic_19300_1
3300020294_6	59.45	0.36	Neural Network (Specific Model)	11	0.922	16415	287.1642935377875	851552	0.36	913	66	33789	None	Aquatic_19300_1
3300020304_6	64.84	0.24	Gradient Boost (General Model)	11	0.914	43389	331.7629009762901	1559976	0.45	1434	61	151654	None	Aquatic_19300_1
3300020336_4	61.43	0.37	Gradient Boost (General Model)	11	0.904	5606	324.1033163265306	2524515	0.48	2352	469	25231	None	Aquatic_19300_1
3300020342_15	73.14	2.84	Neural Network (Specific Model)	11	0.935	9610	259.98003523194365	1415563	0.63	1703	175	40683	None	Aquatic_19300_1
3300020354_3	94.33	3.39	Neural Network (Specific Model)	11	0.918	17642	307.77909940526763	3542453	0.69	3531	288	74828	None	Aquatic_19300_1
3300020358_16	76.34	0.08	Gradient Boost (General Model)	11	0.919	24014	343.88641975308644	1815097	0.38	1620	107	67638	None	Aquatic_19300_1
3300020380_8	98.11	1.45	Gradient Boost (General Model)	11	0.922	75898	320.38495971351836	1161444	0.41	1117	27	191925	None	Aquatic_19300_1
3300020382_12	91.1	0.57	Gradient Boost (General Model)	11	0.95	11272	337.6044018058691	1885113	0.42	1772	208	58046	None	Aquatic_19300_1
3300020382_20	61.65	0.02	Neural Network (Specific Model)	11	0.928	52671	339.74818401937046	1359855	0.37	1239	33	171405	None	Aquatic_19300_1
3300020393_19	95.19	1.18	Gradient Boost (General Model)	11	0.943	33091	309.5601783060921	1984097	0.45	2019	90	85862	None	Aquatic_19300_1
3300020396_15	98.93	0.99	Gradient Boost (General Model)	11	0.95	37035	367.56829511465605	2325558	0.48	2006	109	108220	None	Aquatic_19300_1
3300020412_3	74.42	0.6	Neural Network (Specific Model)	11	0.902	29683	319.9821767159651	2802415	0.35	2637	176	108558	None	Aquatic_19300_1
3300020418_23	73.94	3.09	Gradient Boost (General Model)	11	0.936	11326	288.4496439471007	1813229	0.53	1966	213	41135	None	Aquatic_19300_1
3300020420_18	70.22	0.01	Gradient Boost (General Model)	11	0.936	314930	344.6094986807388	1252884	0.47	1137	7	539935	None	Aquatic_19300_1
3300020428_42	64.73	7.06	Neural Network (Specific Model)	11	0.903	10931	271.55460218408734	1154432	0.38	1282	131	38092	None	Aquatic_19300_1
3300020431_26	75.33	3.08	Neural Network (Specific Model)	11	0.929	16024	272.16515973478	1451981	0.56	1659	133	59683	None	Aquatic_19300_1
3300020440_31	80.29	0.12	Neural Network (Specific Model)	11	0.934	14598	255.936815920398	1644047	0.62	2010	149	68491	None	Aquatic_19300_1
3300020447_19	63.84	5.4	Gradient Boost (General Model)	11	0.951	6320	299.1720578114246	1369127	0.4	1453	227	38328	None	Aquatic_19300_1
3300020469_17	87.19	1.88	Gradient Boost (General Model)	11	0.871	8814	289.3848637015782	2773775	0.52	2788	372	35098	None	Aquatic_19300_1
3300020603_70	82.81	0.25	Neural Network (Specific Model)	11	0.875	8888	266.5830802603037	2101704	0.48	2305	275	57544	None	Aquatic_19300_1
3300020690_4	30.95	0.0	Neural Network (Specific Model)	11	0.904	5289	265.36129032258066	1090614	0.67	1240	201	27906	None	Aquatic_19300_1
3300020709_6	93.34	2.4	Neural Network (Specific Model)	11	0.951	14190	294.9525691699605	1408547	0.5	1518	129	41748	None	Aquatic_19300_1
3300020713_8	88.76	0.67	Gradient Boost (General Model)	11	0.899	12230	271.7260579064588	812150	0.4	898	78	28430	None	Aquatic_19300_1
3300020724_8	99.27	0.0	Gradient Boost (General Model)	11	0.865	18818	260.2009237875289	779848	0.47	866	58	65358	None	Aquatic_19300_1
3300020731_9	61.16	1.55	Neural Network (Specific Model)	11	0.947	8974	290.17215428033865	974841	0.47	1063	125	40775	None	Aquatic_19300_1
3300020732_13	62.73	4.16	Neural Network (Specific Model)	11	0.952	7300	292.38426349496797	1005156	0.46	1093	152	25495	None	Aquatic_19300_1
3300020733_6	100.0	0.39	Gradient Boost (General Model)	11	0.948	56743	361.5252416756176	2126597	0.54	1862	61	192093	None	Aquatic_19300_1
3300021341_24	71.11	1.08	Gradient Boost (General Model)	11	0.927	6050	296.61127596439167	1616127	0.52	1685	278	18864	None	Aquatic_19300_1
3300021371_21	73.03	0.01	Gradient Boost (General Model)	11	0.913	6775	294.68383658969805	1632990	0.51	1689	265	26737	None	Aquatic_19300_1
3300021485_10	99.99	0.65	Neural Network (Specific Model)	11	0.913	50243	310.867461430575	2907841	0.62	2852	85	181723	None	Aquatic_19300_1
3300021485_7	99.92	0.11	Neural Network (Specific Model)	11	0.898	141822	339.7887000459348	4937434	0.49	4354	62	331443	None	Aquatic_19300_1
3300021499_3	71.86	0.36	Gradient Boost (General Model)	11	0.868	5575	303.9287531806616	1647195	0.43	1572	303	24693	None	Aquatic_19300_1
3300022227_36	88.66	1.7	Gradient Boost (General Model)	11	0.865	70140	305.05876685934487	2192383	0.53	2076	61	132938	None	Aquatic_19300_1
3300022888_13	91.21	2.56	Gradient Boost (General Model)	11	0.922	9052	289.4926492649265	3134799	0.63	3333	399	32509	None	Aquatic_19300_1
3300024054_18	92.24	0.52	Gradient Boost (General Model)	11	0.902	16456	329.35828025477707	4811567	0.51	4396	394	67444	None	Aquatic_19300_1
3300024054_58	85.1	0.93	Gradient Boost (General Model)	11	0.901	40919	340.550581915846	1264937	0.34	1117	41	123088	None	Aquatic_19300_1
3300024262_33	93.77	0.28	Gradient Boost (General Model)	11	0.887	10115	317.5776602775942	1619913	0.41	1513	194	34194	None	Aquatic_19300_1
3300024289_1	86.3	0.41	Gradient Boost (General Model)	11	0.927	192792	391.03865336658356	4055204	0.49	3208	54	770547	None	Aquatic_19300_1
3300024300_20	95.89	0.25	Gradient Boost (General Model)	11	0.808	12152	253.67350157728706	596259	0.45	634	59	25631	None	Aquatic_19300_1
3300024311_10	81.74	0.26	Gradient Boost (General Model)	11	0.949	22093	316.5325325325325	997334	0.46	999	83	100459	None	Aquatic_19300_1
3300024311_4	94.51	2.7	Gradient Boost (General Model)	11	0.924	11687	304.3739628040057	3443715	0.53	3495	384	66979	None	Aquatic_19300_1
3300024318_6	99.72	0.07	Gradient Boost (General Model)	11	0.923	94694	337.32224168126095	2500742	0.51	2284	52	285682	None	Aquatic_19300_1
3300024353_34	94.07	1.72	Gradient Boost (General Model)	11	0.888	225232	308.67369274422373	2568740	0.57	2467	16	393213	None	Aquatic_19300_1
3300024431_30	80.07	2.66	Gradient Boost (General Model)	11	0.896	5977	283.1586308428414	2572265	0.67	2717	452	23514	None	Aquatic_19300_1
3300024901_4	95.4	1.93	Neural Network (Specific Model)	11	0.911	56789	317.7225325884544	2806598	0.51	2685	74	187746	None	Aquatic_19300_1
3300024912_1	99.95	0.08	Neural Network (Specific Model)	11	0.923	54970	315.3882143914717	3458808	0.64	3377	132	216502	None	Aquatic_19300_1
3300025042_4	91.97	1.57	Gradient Boost (General Model)	11	0.873	22635	301.89952279957583	3909170	0.62	3772	280	99062	None	Aquatic_19300_1
3300025138_3	96.43	0.35	Neural Network (Specific Model)	11	0.928	289622	359.1405030355594	5344117	0.46	4612	28	959841	None	Aquatic_19300_1
3300025194_1	86.11	1.18	Gradient Boost (General Model)	11	0.886	14821	309.2613941018767	2338973	0.42	2238	215	41224	None	Aquatic_19300_1
3300025195_1	87.67	0.03	Neural Network (Specific Model)	11	0.912	49232	328.9821300929235	3022260	0.59	2798	104	145901	None	Aquatic_19300_1
3300025201_7	81.2	0.95	Neural Network (Specific Model)	11	0.955	8587	290.57669237360756	1062587	0.31	1167	138	39066	None	Aquatic_19300_1
3300025365_2	99.75	0.18	Neural Network (Specific Model)	11	0.88	29500	309.3105300859599	2936306	0.49	2792	150	104006	None	Aquatic_19300_1
3300025375_6	66.9	0.13	Neural Network (Specific Model)	11	0.897	6674	276.8072357263991	1633724	0.46	1769	268	30409	None	Aquatic_19300_1
3300025379_6	92.87	0.0	Neural Network (Specific Model)	11	0.932	13054	284.69083447332423	668358	0.35	731	68	38094	None	Aquatic_19300_1
3300025419_15	87.92	0.99	Gradient Boost (General Model)	11	0.862	10308	240.92758393680052	1268678	0.56	1519	150	36808	None	Aquatic_19300_1
3300025431_14	82.47	0.11	Gradient Boost (General Model)	11	0.948	137435	354.31850419084464	1735363	0.4	1551	27	221520	None	Aquatic_19300_1
3300025431_9	95.73	0.53	Gradient Boost (General Model)	11	0.939	104399	318.0129620739318	2112720	0.65	2083	41	188045	None	Aquatic_19300_1
3300025450_1	95.97	0.5	Gradient Boost (General Model)	11	0.936	72817	318.5962797106442	2959907	0.51	2903	78	213122	None	Aquatic_19300_1
3300025452_14	77.33	1.69	Gradient Boost (General Model)	11	0.901	7033	275.1910910264687	1416645	0.42	1549	225	27288	None	Aquatic_19300_1
3300025458_23	87.29	4.33	Gradient Boost (General Model)	4	0.915	12514	313.37000887311444	1157316	0.25	1127	114	92621	None	Aquatic_19300_1
3300025459_3	98.4	5.69	Gradient Boost (General Model)	11	0.848	114517	325.0673450508788	6203893	0.59	5405	89	380917	None	Aquatic_19300_1
3300025472_25	83.88	0.63	Gradient Boost (General Model)	11	0.888	14779	253.33972392638037	1113564	0.5	1304	101	80105	None	Aquatic_19300_1
3300025477_20	62.81	0.02	Gradient Boost (General Model)	11	0.883	5957	270.6849315068493	1473408	0.59	1606	260	14653	None	Aquatic_19300_1
3300025487_10	78.36	0.25	Neural Network (Specific Model)	11	0.953	11526	291.30543187889583	1027865	0.46	1123	103	53895	None	Aquatic_19300_1
3300025496_8	91.78	0.02	Gradient Boost (General Model)	11	0.889	145667	316.01257071024514	3387959	0.61	3182	36	295743	None	Aquatic_19300_1
3300025577_21	73.84	2.54	Neural Network (Specific Model)	11	0.899	10025	315.90176322418137	1671847	0.53	1588	199	29832	None	Aquatic_19300_1
3300025614_19	97.75	1.07	Gradient Boost (General Model)	11	0.928	38789	314.0055524708495	1824050	0.42	1801	82	96645	None	Aquatic_19300_1
3300025616_7	63.7	1.71	Gradient Boost (General Model)	11	0.906	7818	286.63134657836645	2575457	0.56	2718	357	43589	None	Aquatic_19300_1
3300025620_42	64.05	1.57	Gradient Boost (General Model)	11	0.961	7159	281.21256038647346	905155	0.39	1035	138	24514	None	Aquatic_19300_1
3300025621_33	64.13	5.44	Neural Network (Specific Model)	11	0.91	6206	290.60954872465663	1462790	0.51	1529	251	20276	None	Aquatic_19300_1
3300025623_17	94.97	1.6	Gradient Boost (General Model)	11	0.949	28180	307.955124936257	1905072	0.56	1961	103	130845	None	Aquatic_19300_1
3300025632_15	92.98	0.03	Neural Network (Specific Model)	11	0.932	139494	328.5026014568158	2029309	0.39	1922	22	281555	None	Aquatic_19300_1
3300025640_17	97.76	1.17	Gradient Boost (General Model)	11	0.905	38477	314.81394453004623	2703943	0.45	2596	117	179166	None	Aquatic_19300_1
3300025640_25	93.19	1.21	Gradient Boost (General Model)	11	0.857	14550	314.6196060037523	2345311	0.43	2132	218	81390	None	Aquatic_19300_1
3300025654_25	84.05	1.55	Gradient Boost (General Model)	11	0.956	13803	332.7553865652725	1643118	0.45	1578	151	64975	None	Aquatic_19300_1
3300025666_36	66.32	0.57	Neural Network (Specific Model)	11	0.956	15146	329.69820971867006	1211251	0.46	1173	105	35787	None	Aquatic_19300_1
3300025669_4	67.73	3.42	Gradient Boost (General Model)	11	0.84	10389	261.21611445783134	4939063	0.43	5312	573	36601	None	Aquatic_19300_1
3300025690_6	90.83	0.62	Neural Network (Specific Model)	11	0.946	112015	345.7353556485356	3137416	0.44	2868	58	233308	None	Aquatic_19300_1
3300025690_8	100.0	0.86	Gradient Boost (General Model)	11	0.883	35571	311.6982186517639	3028942	0.51	2863	140	125528	None	Aquatic_19300_1
3300025719_23	98.45	3.19	Gradient Boost (General Model)	11	0.925	40515	310.50546021840876	1933260	0.42	1923	82	103139	None	Aquatic_19300_1
3300025729_21	84.39	1.98	Neural Network (Specific Model)	11	0.944	19331	325.68242372152986	2401453	0.44	2327	165	114351	None	Aquatic_19300_1
3300025806_22	64.21	0.47	Gradient Boost (General Model)	11	0.927	8507	267.3628117913832	762000	0.47	882	108	23155	None	Aquatic_19300_1
3300025810_7	59.54	0.04	Gradient Boost (General Model)	11	0.955	5479	293.439121756487	920780	0.45	1002	171	22016	None	Aquatic_19300_1
3300025816_18	65.22	1.48	Neural Network (Specific Model)	11	0.938	20657	319.48984375	1306351	0.29	1280	94	79075	None	Aquatic_19300_1
3300025822_15	88.51	0.02	Gradient Boost (General Model)	11	0.906	15493	334.8117709437964	2088066	0.52	1886	179	73725	None	Aquatic_19300_1
3300025822_20	79.68	0.91	Neural Network (Specific Model)	11	0.937	9762	282.2620512820513	1757670	0.53	1950	224	53513	None	Aquatic_19300_1
3300025828_19	79.98	0.0	Gradient Boost (General Model)	11	0.934	8455	290.4155844155844	1217717	0.76	1309	175	24432	None	Aquatic_19300_1
3300025874_43	86.53	0.67	Gradient Boost (General Model)	11	0.955	13343	348.50148016577856	1844739	0.51	1689	176	63466	None	Aquatic_19300_1
3300025897_38	93.16	0.13	Gradient Boost (General Model)	11	0.891	99130	305.7854511970534	2232437	0.48	2172	43	218739	None	Aquatic_19300_1
3300025897_44	95.42	1.93	Neural Network (Specific Model)	11	0.933	66885	328.47809829059827	1973646	0.4	1872	53	167960	None	Aquatic_19300_1
3300026098_3	88.3	1.45	Neural Network (Specific Model)	11	0.918	11811	330.7979585709997	3597024	0.4	3331	383	50946	None	Aquatic_19300_1
3300026108_36	56.03	0.0	Neural Network (Specific Model)	11	0.96	7029	283.79357798165137	578354	0.31	654	89	21771	None	Aquatic_19300_1
3300026108_4	85.77	1.39	Gradient Boost (General Model)	11	0.93	10784	345.7911244577911	3338602	0.6	2997	383	40508	None	Aquatic_19300_1
3300026210_15	89.42	0.88	Gradient Boost (General Model)	11	0.908	11934	296.67252283907237	1392776	0.6	1423	160	33251	None	Aquatic_19300_1
3300026253_23	78.22	0.2	Gradient Boost (General Model)	11	0.907	7227	273.44531516183986	2649491	0.49	2935	405	28660	None	Aquatic_19300_1
3300026266_8	78.5	1.43	Gradient Boost (General Model)	11	0.945	121425	317.0704714640199	2024752	0.52	2015	34	222699	None	Aquatic_19300_1
3300026269_24	70.1	0.58	Gradient Boost (General Model)	11	0.956	27823	342.33355393778953	1619244	0.39	1511	83	93103	None	Aquatic_19300_1
3300026321_31	65.49	1.16	Gradient Boost (General Model)	11	0.911	13568	329.7527386541471	1386134	0.43	1278	123	49192	None	Aquatic_19300_1
3300026509_20	95.59	0.85	Gradient Boost (General Model)	11	0.906	12125	331.37850689491205	2303673	0.32	2103	247	53099	None	Aquatic_19300_1
3300026762_5	87.01	0.57	Gradient Boost (General Model)	11	0.864	40408	267.1791135397693	1518513	0.43	1647	62	134090	None	Aquatic_19300_1
3300026821_11	66.46	1.43	Neural Network (Specific Model)	11	0.924	7271	268.5691439322672	922336	0.36	1063	139	39294	None	Aquatic_19300_1
3300026821_7	71.37	2.41	Gradient Boost (General Model)	11	0.889	26516	269.32192231731403	1372742	0.45	1519	85	151588	None	Aquatic_19300_1
3300027081_4	69.55	0.24	Neural Network (Specific Model)	11	0.932	33313	307.32098027495516	1652092	0.37	1673	80	102492	None	Aquatic_19300_1
3300027162_7	100.0	0.25	Neural Network (Specific Model)	11	0.942	91961	293.7067701595515	2159776	0.69	2319	46	273198	None	Aquatic_19300_1
3300027210_1	78.36	0.47	Gradient Boost (General Model)	11	0.915	7845	294.9474595842956	1672063	0.52	1732	240	33333	None	Aquatic_19300_1
3300027210_6	60.12	0.75	Neural Network (Specific Model)	11	0.954	9256	283.19435028248586	786749	0.37	885	101	46254	None	Aquatic_19300_1
3300027214_3	99.27	4.82	Gradient Boost (General Model)	11	0.954	31851	342.8888888888889	1859159	0.54	1728	93	119268	None	Aquatic_19300_1
